,Tickers Traded,Entry Point Price,Exit Point Price,Shares Traded,Earnings ($),Earnings (%),Exit Strategy (Loss %),Exit Strategy (Win %),Exit Strategy (Time),Trading Period,Trading Start Date,Trading End Date,Trading Intervals,Account Value,Number of Stocks Traded,Profit (%),Profit ($),Win Rate
0,MSFT,29.65999984741211,29.31999969482422,337.0,-0.3400001525878906,-1.1463255372118832,0.0,0.49999999999998934,7.0,4017 days,2019-03-24,2021-03-24,1d,89824.89683532715,686.0,798.2489683532715,79824.89683532715,76.53061224489795
1,NVDA,16.8799991607666,17.010000228881836,585.0,0.13000106811523438,0.7701485460816244,,,,,,,,,,,,
2,AAPL,8.653214454650879,8.760000228881836,1151.0,0.10678577423095703,1.2340590284753943,,,,,,,,,,,,
3,INTC,23.520000457763672,23.829999923706055,428.0,0.3099994659423828,1.3180249145788419,,,,,,,,,,,,
4,T,26.239999771118164,26.420000076293945,389.0,0.18000030517578125,0.685976778757079,,,,,,,,,,,,
5,AAPL,8.735357284545898,9.242856979370117,1177.0,0.5074996948242188,5.809718804771255,,,,,,,,,,,,
6,TTWO,10.680000305175781,10.859999656677246,1019.0,0.17999935150146484,1.6853871381841898,,,,,,,,,,,,
7,MSFT,30.959999084472656,29.770000457763672,357.0,-1.1899986267089844,-3.8436649286136557,,,,,,,,,,,,
8,AAPL,8.79464340209961,8.9375,1210.0,0.14285659790039062,1.6243591851181305,,,,,,,,,,,,
9,QCOM,37.369998931884766,38.0,289.0,0.6300010681152344,1.6858471665026087,,,,,,,,,,,,
10,MSFT,29.440000534057617,26.850000381469727,373.0,-2.5900001525878906,-8.797554706534918,,,,,,,,,,,,
11,AAPL,8.812856674194336,8.931428909301758,1138.0,0.11857223510742188,1.3454460850886543,,,,,,,,,,,,
12,AAPL,8.71821403503418,8.949999809265137,1166.0,0.23178577423095703,2.658638263519626,,,,,,,,,,,,
13,AAPL,9.174285888671875,9.274642944335938,1137.0,0.1003570556640625,1.093895011359743,,,,,,,,,,,,
14,AAPL,9.426786422729492,9.14142894744873,1119.0,-0.2853574752807617,-3.027091762604477,,,,,,,,,,,,
15,MSFT,25.5,25.75,401.0,0.25,0.9803921568627451,,,,,,,,,,,,
16,AAPL,9.54464340209961,9.664285659790039,1082.0,0.11964225769042969,1.2535015992751606,,,,,,,,,,,,
17,QCOM,35.689998626708984,33.0,293.0,-2.6899986267089844,-7.5371216873510765,,,,,,,,,,,,
18,MSFT,23.270000457763672,23.700000762939453,415.0,0.43000030517578125,1.8478740726982597,,,,,,,,,,,,
19,QCOM,32.650001525878906,32.81999969482422,301.0,0.1699981689453125,0.520668180706115,,,,,,,,,,,,
20,MSFT,24.299999237060547,24.600000381469727,407.0,0.3000011444091797,1.234572649498854,,,,,,,,,,,,
21,AAPL,9.217499732971191,8.675000190734863,1087.0,-0.5424995422363281,-5.885539006806757,,,,,,,,,,,,
22,MSFT,25.479999542236328,25.84000015258789,370.0,0.3600006103515625,1.4128752622417275,,,,,,,,,,,,
23,AAPL,9.283571243286133,9.416786193847656,1030.0,0.13321495056152344,1.4349537163067967,,,,,,,,,,,,
