,BUYS,BUYS,BUYS,BUYS,SELLS,SELLS,SELLS,SELLS
,STOCK,SHARES,PRICE,TIME,STOCK,SHARES,PRICE,TIME
0,SBUX,95,105.13999938964844,"February 05, 2021 at 09:34:00 AM",SBUX,95.0,105.29499816894531,"February 05, 2021 at 09:38:00 AM"
1,AAPL,73,136.5,"February 05, 2021 at 09:38:00 AM",AAPL,73.0,136.71499633789062,"February 05, 2021 at 09:42:00 AM"
2,MSFT,41,241.25,"February 05, 2021 at 09:42:00 AM",MSFT,41.0,241.61000061035156,"February 05, 2021 at 10:28:00 AM"
3,SBUX,94,106.06320190429688,"February 05, 2021 at 10:28:00 AM",SBUX,94.0,106.2300033569336,"February 05, 2021 at 10:32:00 AM"
4,INTC,172,58.464500427246094,"February 05, 2021 at 10:32:00 AM",INTC,172.0,58.487701416015625,"February 05, 2021 at 10:36:00 AM"
5,AAPL,73,136.1999969482422,"February 05, 2021 at 10:36:00 AM",AAPL,73.0,136.40130615234375,"February 05, 2021 at 10:50:00 AM"
6,MSFT,41,241.6300048828125,"February 05, 2021 at 10:50:00 AM",MSFT,41.0,241.6999969482422,"February 05, 2021 at 10:58:00 AM"
7,AAPL,73,136.44900512695312,"February 05, 2021 at 10:58:00 AM",AAPL,73.0,136.65069580078125,"February 05, 2021 at 11:04:00 AM"
8,SBUX,94,106.9800033569336,"February 05, 2021 at 11:04:00 AM",SBUX,94.0,107.19999694824219,"February 05, 2021 at 11:42:00 AM"
9,SNE,87,116.19000244140625,"February 05, 2021 at 11:42:00 AM",SNE,87.0,116.4000015258789,"February 05, 2021 at 12:06:00 PM"
10,INTC,173,58.29499816894531,"February 05, 2021 at 12:06:00 PM",INTC,173.0,58.380001068115234,"February 05, 2021 at 12:56:00 PM"
11,AAPL,74,136.92999267578125,"February 05, 2021 at 12:56:00 PM",AAPL,74.0,137.05499267578125,"February 05, 2021 at 01:04:00 PM"
12,TTWO,49,206.6699981689453,"February 05, 2021 at 01:04:00 PM",TTWO,49.0,207.3300018310547,"February 05, 2021 at 01:28:00 PM"
13,AAPL,74,137.16000366210938,"February 05, 2021 at 01:28:00 PM",AAPL,74.0,137.5,"February 09, 2021 at 09:36:00 AM"
14,MSFT,42,242.5800018310547,"February 09, 2021 at 09:38:00 AM",MSFT,42.0,242.82000732421875,"February 09, 2021 at 09:42:00 AM"
15,NVDA,17,573.9849853515625,"February 09, 2021 at 09:42:00 AM",NVDA,17.0,573.5800170898438,"February 09, 2021 at 09:48:00 AM"
16,SBUX,97,105.33999633789062,"February 09, 2021 at 09:50:00 AM",SBUX,97.0,105.4749984741211,"February 09, 2021 at 09:56:00 AM"
17,AAPL,74,137.125,"February 09, 2021 at 09:56:00 AM",AAPL,74.0,137.26499938964844,"February 09, 2021 at 10:20:00 AM"
18,INTC,173,58.9900016784668,"February 09, 2021 at 10:20:00 AM",INTC,173.0,59.06809997558594,"February 09, 2021 at 10:28:00 AM"
19,MSFT,42,244.00999450683594,"February 09, 2021 at 10:30:00 AM",MSFT,42.0,244.22999572753906,"February 09, 2021 at 10:36:00 AM"
20,SBUX,97,105.51000213623047,"February 09, 2021 at 10:36:00 AM",SBUX,97.0,105.76000213623047,"February 09, 2021 at 10:44:00 AM"
21,INTC,173,59.18000030517578,"February 09, 2021 at 10:44:00 AM",INTC,173.0,59.220001220703125,"February 09, 2021 at 11:02:00 AM"
22,ORCL,161,63.7599983215332,"February 09, 2021 at 11:04:00 AM",ORCL,161.0,63.81999969482422,"February 09, 2021 at 12:12:00 PM"
23,AAPL,75,136.6699981689453,"February 09, 2021 at 12:14:00 PM",AAPL,75.0,136.58999633789062,"February 10, 2021 at 09:34:00 AM"
24,SBUX,96,106.66000366210938,"February 10, 2021 at 09:34:00 AM",SBUX,96.0,106.60240173339844,"February 10, 2021 at 09:38:00 AM"
25,TTWO,50,202.5800018310547,"February 10, 2021 at 09:38:00 AM",,,,
