,BUYS,,,,SELLS,,,
,STOCK,SHARES,PRICE,TIME,STOCK,SHARES,PRICE,TIME
0,JNJ,99,100.3899994,"January 06, 2016 at 12:00:00 AM",JNJ,99,102.5,"January 28, 2016 at 12:00:00 AM"
1,AMD,4908,2.079999924,"January 28, 2016 at 12:00:00 AM",AMD,4908,2.170000076,"February 01, 2016 at 12:00:00 AM"
2,QCOM,230,46.11000061,"February 01, 2016 at 12:00:00 AM",QCOM,230,47.04999924,"February 17, 2016 at 12:00:00 AM"
3,AAPL,443,24.53000069,"February 17, 2016 at 12:00:00 AM",AAPL,443,24.70999908,"February 18, 2016 at 12:00:00 AM"
4,AMD,5731,1.909999967,"February 18, 2016 at 12:00:00 AM",AMD,5731,1.929999948,"February 19, 2016 at 12:00:00 AM"
5,JNJ,106,104.1600037,"February 19, 2016 at 12:00:00 AM",JNJ,106,104.1600037,"February 22, 2016 at 12:00:00 AM"
6,AAPL,456,24.21999931,"February 22, 2016 at 12:00:00 AM",AAPL,456,24.41250038,"March 01, 2016 at 12:00:00 AM"
7,TTWO,297,37.5,"March 01, 2016 at 12:00:00 AM",TTWO,297,38.04999924,"April 04, 2016 at 12:00:00 AM"
8,AAPL,407,27.78000069,"April 04, 2016 at 12:00:00 AM",AAPL,407,28.02750015,"April 15, 2016 at 12:00:00 AM"
9,PEP,109,103.7699966,"April 15, 2016 at 12:00:00 AM",PEP,109,104.9199982,"May 09, 2016 at 12:00:00 AM"
10,TTWO,332,34.68999863,"May 09, 2016 at 12:00:00 AM",TTWO,332,35.33000183,"May 11, 2016 at 12:00:00 AM"
11,AAPL,508,23.12750053,"May 11, 2016 at 12:00:00 AM",AAPL,508,23.63750076,"May 17, 2016 at 12:00:00 AM"
12,MSFT,237,50.50999832,"May 17, 2016 at 12:00:00 AM",MSFT,237,51.91999817,"May 25, 2016 at 12:00:00 AM"
13,MSFT,236,52.11999893,"May 25, 2016 at 12:00:00 AM",MSFT,236,52.43999863,"June 01, 2016 at 12:00:00 AM"
14,INTC,392,31.65999985,"June 01, 2016 at 12:00:00 AM",INTC,392,32.04999924,"June 13, 2016 at 12:00:00 AM"
15,MSFT,250,50.13999939,"June 13, 2016 at 12:00:00 AM",MSFT,250,50.40999985,"June 17, 2016 at 12:00:00 AM"
16,AAPL,530,23.83250046,"June 17, 2016 at 12:00:00 AM",AAPL,530,24,"June 20, 2016 at 12:00:00 AM"
17,TTWO,341,37.31000137,"June 21, 2016 at 12:00:00 AM",TTWO,341,37.63999939,"July 01, 2016 at 12:00:00 AM"
18,AMD,2532,5.070000172,"July 01, 2016 at 12:00:00 AM",AMD,2532,5.070000172,"July 07, 2016 at 12:00:00 AM"
19,AAPL,535,23.98500061,"July 07, 2016 at 12:00:00 AM",AAPL,535,24.12249947,"July 08, 2016 at 12:00:00 AM"
20,MSFT,245,52.59000015,"July 11, 2016 at 12:00:00 AM",MSFT,245,52.93999863,"July 12, 2016 at 12:00:00 AM"
21,JNJ,105,122.9199982,"July 12, 2016 at 12:00:00 AM",JNJ,105,123.7699966,"July 15, 2016 at 12:00:00 AM"
22,AAPL,530,24.69499969,"July 15, 2016 at 12:00:00 AM",AAPL,530,24.88999939,"July 19, 2016 at 12:00:00 AM"
23,AAPL,528,24.96750069,"July 19, 2016 at 12:00:00 AM",AAPL,528,26.06749916,"July 27, 2016 at 12:00:00 AM"
24,QCOM,220,62.50999832,"July 27, 2016 at 12:00:00 AM",QCOM,220,63,"August 23, 2016 at 12:00:00 AM"
25,TTWO,328,42.25,"August 23, 2016 at 12:00:00 AM",TTWO,328,44.25,"August 30, 2016 at 12:00:00 AM"
26,AAPL,548,26.5,"August 30, 2016 at 12:00:00 AM",AAPL,548,26.92499924,"September 02, 2016 at 12:00:00 AM"
27,MSFT,256,57.66999817,"September 02, 2016 at 12:00:00 AM",MSFT,256,57.52999878,"October 18, 2016 at 12:00:00 AM"
28,AAPL,501,29.36750031,"October 18, 2016 at 12:00:00 AM",AAPL,501,27.59250069,"December 01, 2016 at 12:00:00 AM"
29,QCOM,215,64.16000366,"December 01, 2016 at 12:00:00 AM",QCOM,215,66.37999725,"December 05, 2016 at 12:00:00 AM"
30,AAPL,525,27.27750015,"December 05, 2016 at 12:00:00 AM",AAPL,525,27.71500015,"December 08, 2016 at 12:00:00 AM"
31,MSFT,238,61.00999832,"December 08, 2016 at 12:00:00 AM",MSFT,238,61.81999969,"December 12, 2016 at 12:00:00 AM"
32,MSFT,237,62.16999817,"December 12, 2016 at 12:00:00 AM",MSFT,237,62.5,"December 13, 2016 at 12:00:00 AM"
33,QCOM,213,69.33999634,"December 13, 2016 at 12:00:00 AM",QCOM,213,54.38999939,"January 30, 2017 at 12:00:00 AM"
34,JNJ,102,113.1299973,"January 30, 2017 at 12:00:00 AM",JNJ,102,114.3199997,"February 10, 2017 at 12:00:00 AM"
35,MSFT,183,64,"February 10, 2017 at 12:00:00 AM",MSFT,183,64.41000366,"February 14, 2017 at 12:00:00 AM"
36,AAPL,350,33.75500107,"February 14, 2017 at 12:00:00 AM",AAPL,350,34.05749893,"February 21, 2017 at 12:00:00 AM"
37,AAPL,349,34.17499924,"February 21, 2017 at 12:00:00 AM",AAPL,349,34.47249985,"March 01, 2017 at 12:00:00 AM"
38,PEP,109,109.7300034,"March 01, 2017 at 12:00:00 AM",PEP,109,111.0899963,"March 16, 2017 at 12:00:00 AM"
39,AAPL,346,35.17250061,"March 16, 2017 at 12:00:00 AM",AAPL,346,35.52750015,"March 21, 2017 at 12:00:00 AM"
40,AAPL,352,34.95999908,"March 21, 2017 at 12:00:00 AM",AAPL,352,35.31499863,"March 23, 2017 at 12:00:00 AM"
41,AAPL,353,35.22999954,"March 23, 2017 at 12:00:00 AM",AAPL,353,35.91999817,"March 29, 2017 at 12:00:00 AM"
42,QCOM,221,57.36000061,"March 29, 2017 at 12:00:00 AM",QCOM,221,57.36000061,"March 30, 2017 at 12:00:00 AM"
43,AMD,871,14.55000019,"March 31, 2017 at 12:00:00 AM",AMD,871,11.65999985,"May 16, 2017 at 12:00:00 AM"
44,MSFT,146,69.41000366,"May 16, 2017 at 12:00:00 AM",MSFT,146,69.80000305,"May 26, 2017 at 12:00:00 AM"
45,AAPL,266,38.40250015,"May 26, 2017 at 12:00:00 AM",AAPL,266,38.75500107,"June 07, 2017 at 12:00:00 AM"
46,AAPL,265,38.84249878,"June 07, 2017 at 12:00:00 AM",AAPL,265,37.49750137,"July 21, 2017 at 12:00:00 AM"
