,BUYS,BUYS,BUYS,BUYS,SELLS,SELLS,SELLS,SELLS
,STOCK,SHARES,PRICE,TIME,STOCK,SHARES,PRICE,TIME
0,MSFT,372,26.860000610351562,"January 09, 2006 at 12:00:00 AM",MSFT,372.0,27.010000228881836,"January 11, 2006 at 12:00:00 AM"
1,PEP,171,58.70000076293945,"January 13, 2006 at 12:00:00 AM",PEP,171.0,59.470001220703125,"February 24, 2006 at 12:00:00 AM"
2,INTC,500,20.360000610351562,"February 24, 2006 at 12:00:00 AM",INTC,500.0,20.469999313354492,"February 27, 2006 at 12:00:00 AM"
3,QCOM,211,48.349998474121094,"February 27, 2006 at 12:00:00 AM",QCOM,211.0,49.560001373291016,"March 09, 2006 at 12:00:00 AM"
4,TXN,340,30.81999969482422,"March 09, 2006 at 12:00:00 AM",TXN,340.0,31.219999313354492,"March 15, 2006 at 12:00:00 AM"
5,TXN,339,31.280000686645508,"March 15, 2006 at 12:00:00 AM",TXN,339.0,32.869998931884766,"March 30, 2006 at 12:00:00 AM"
6,AMD,332,33.59000015258789,"March 30, 2006 at 12:00:00 AM",AMD,332.0,34.779998779296875,"April 06, 2006 at 12:00:00 AM"
7,PEP,199,58.02000045776367,"April 06, 2006 at 12:00:00 AM",PEP,199.0,58.02000045776367,"April 20, 2006 at 12:00:00 AM"
8,QCOM,223,51.84000015258789,"April 20, 2006 at 12:00:00 AM",QCOM,223.0,52.45000076293945,"April 25, 2006 at 12:00:00 AM"
9,PEP,203,57.5,"April 25, 2006 at 12:00:00 AM",PEP,203.0,57.81999969482422,"April 26, 2006 at 12:00:00 AM"
10,TTWO,668,17.600000381469727,"April 26, 2006 at 12:00:00 AM",TTWO,668.0,17.600000381469727,"April 27, 2006 at 12:00:00 AM"
11,KO,559,21.024999618530273,"April 27, 2006 at 12:00:00 AM",KO,559.0,21.135000228881836,"May 05, 2006 at 12:00:00 AM"
12,KO,553,21.354999542236328,"May 05, 2006 at 12:00:00 AM",KO,553.0,21.59000015258789,"May 09, 2006 at 12:00:00 AM"
13,JNJ,204,58.36000061035156,"May 09, 2006 at 12:00:00 AM",JNJ,204.0,58.65999984741211,"May 11, 2006 at 12:00:00 AM"
14,KO,554,21.690000534057617,"May 11, 2006 at 12:00:00 AM",KO,554.0,22.06999969482422,"May 16, 2006 at 12:00:00 AM"
15,QCOM,253,48.189998626708984,"May 16, 2006 at 12:00:00 AM",QCOM,253.0,35.0,"July 21, 2006 at 12:00:00 AM"
16,SNE,216,41.0,"July 21, 2006 at 12:00:00 AM",SNE,216.0,41.349998474121094,"July 24, 2006 at 12:00:00 AM"
17,TXN,322,27.84000015258789,"July 24, 2006 at 12:00:00 AM",TXN,322.0,28.6299991607666,"July 25, 2006 at 12:00:00 AM"
18,TXN,318,28.950000762939453,"July 25, 2006 at 12:00:00 AM",TXN,318.0,28.950000762939453,"July 26, 2006 at 12:00:00 AM"
19,AAPL,4044,2.2810709476470947,"July 26, 2006 at 12:00:00 AM",AAPL,4044.0,2.3035709857940674,"July 27, 2006 at 12:00:00 AM"
20,TXN,316,29.479999542236328,"July 27, 2006 at 12:00:00 AM",TXN,316.0,30.5,"August 04, 2006 at 12:00:00 AM"
21,QCOM,272,35.310001373291016,"August 04, 2006 at 12:00:00 AM",QCOM,272.0,36.279998779296875,"August 16, 2006 at 12:00:00 AM"
22,MSFT,400,24.700000762939453,"August 16, 2006 at 12:00:00 AM",MSFT,400.0,24.700000762939453,"August 17, 2006 at 12:00:00 AM"
23,MSFT,400,24.700000762939453,"August 17, 2006 at 12:00:00 AM",MSFT,400.0,25.049999237060547,"August 18, 2006 at 12:00:00 AM"
24,AMD,419,23.93000030517578,"August 18, 2006 at 12:00:00 AM",AMD,419.0,25.190000534057617,"August 23, 2006 at 12:00:00 AM"
25,MSFT,411,25.670000076293945,"August 23, 2006 at 12:00:00 AM",MSFT,411.0,25.81999969482422,"August 24, 2006 at 12:00:00 AM"
26,MSFT,413,25.739999771118164,"August 24, 2006 at 12:00:00 AM",MSFT,413.0,25.920000076293945,"August 29, 2006 at 12:00:00 AM"
27,MSFT,414,25.84000015258789,"August 29, 2006 at 12:00:00 AM",MSFT,414.0,25.989999771118164,"September 14, 2006 at 12:00:00 AM"
28,KO,483,22.290000915527344,"September 14, 2006 at 12:00:00 AM",KO,483.0,22.405000686645508,"September 28, 2006 at 12:00:00 AM"
29,JNJ,166,64.9000015258789,"September 28, 2006 at 12:00:00 AM",JNJ,166.0,65.54000091552734,"October 04, 2006 at 12:00:00 AM"
30,TTWO,758,14.40999984741211,"October 04, 2006 at 12:00:00 AM",TTWO,758.0,14.5,"October 06, 2006 at 12:00:00 AM"
31,PEP,170,64.41999816894531,"October 06, 2006 at 12:00:00 AM",PEP,170.0,62.86000061035156,"December 12, 2006 at 12:00:00 AM"
32,PEP,170,62.849998474121094,"December 12, 2006 at 12:00:00 AM",PEP,170.0,63.31999969482422,"December 20, 2006 at 12:00:00 AM"
33,AMD,494,21.850000381469727,"December 20, 2006 at 12:00:00 AM",AMD,494.0,21.969999313354492,"December 21, 2006 at 12:00:00 AM"
34,AMD,518,20.950000762939453,"December 21, 2006 at 12:00:00 AM",AMD,518.0,14.6899995803833,"March 02, 2007 at 12:00:00 AM"
35,TXN,248,30.760000228881836,"March 02, 2007 at 12:00:00 AM",TXN,248.0,31.600000381469727,"March 06, 2007 at 12:00:00 AM"
36,INTC,409,19.1200008392334,"March 07, 2007 at 12:00:00 AM",INTC,409.0,19.280000686645508,"March 08, 2007 at 12:00:00 AM"
37,MCD,181,43.63999938964844,"March 08, 2007 at 12:00:00 AM",MCD,181.0,44.099998474121094,"March 12, 2007 at 12:00:00 AM"
38,SNE,151,52.880001068115234,"March 12, 2007 at 12:00:00 AM",SNE,151.0,53.220001220703125,"March 23, 2007 at 12:00:00 AM"
39,AAPL,2406,3.3399999141693115,"March 23, 2007 at 12:00:00 AM",AAPL,2406.0,3.356786012649536,"March 26, 2007 at 12:00:00 AM"
40,QCOM,190,42.41999816894531,"March 26, 2007 at 12:00:00 AM",QCOM,190.0,42.79999923706055,"March 29, 2007 at 12:00:00 AM"
41,QCOM,192,42.25,"March 29, 2007 at 12:00:00 AM",QCOM,192.0,42.68000030517578,"April 02, 2007 at 12:00:00 AM"
42,MSFT,296,27.739999771118164,"April 02, 2007 at 12:00:00 AM",MSFT,296.0,28.010000228881836,"April 04, 2007 at 12:00:00 AM"
43,AMD,654,12.710000038146973,"April 04, 2007 at 12:00:00 AM",AMD,654.0,13.399999618530273,"April 09, 2007 at 12:00:00 AM"
44,QCOM,205,42.68000030517578,"April 09, 2007 at 12:00:00 AM",QCOM,205.0,42.90999984741211,"April 11, 2007 at 12:00:00 AM"
45,QCOM,209,42.099998474121094,"April 11, 2007 at 12:00:00 AM",QCOM,209.0,42.5099983215332,"April 13, 2007 at 12:00:00 AM"
46,AAPL,2760,3.2228569984436035,"April 13, 2007 at 12:00:00 AM",AAPL,2760.0,3.2857139110565186,"April 17, 2007 at 12:00:00 AM"
47,MSFT,314,28.850000381469727,"April 17, 2007 at 12:00:00 AM",MSFT,314.0,29.09000015258789,"April 26, 2007 at 12:00:00 AM"
48,AAPL,2590,3.5299999713897705,"April 26, 2007 at 12:00:00 AM",AAPL,2590.0,3.5746428966522217,"April 30, 2007 at 12:00:00 AM"
49,AAPL,2598,3.56428599357605,"April 30, 2007 at 12:00:00 AM",AAPL,2598.0,3.5975000858306885,"May 03, 2007 at 12:00:00 AM"
50,AAPL,2606,3.585714101791382,"May 03, 2007 at 12:00:00 AM",AAPL,2606.0,3.609999895095825,"May 07, 2007 at 12:00:00 AM"
51,AAPL,2535,3.7114291191101074,"May 07, 2007 at 12:00:00 AM",AAPL,2535.0,3.746786117553711,"May 09, 2007 at 12:00:00 AM"
52,AAPL,2488,3.817142963409424,"May 09, 2007 at 12:00:00 AM",AAPL,2488.0,3.8478569984436035,"May 11, 2007 at 12:00:00 AM"
53,AAPL,2466,3.883570909500122,"May 11, 2007 at 12:00:00 AM",AAPL,2466.0,3.9149999618530273,"May 14, 2007 at 12:00:00 AM"
54,MSFT,311,30.969999313354492,"May 14, 2007 at 12:00:00 AM",MSFT,311.0,30.969999313354492,"May 18, 2007 at 12:00:00 AM"
55,AAPL,2457,3.929286003112793,"May 18, 2007 at 12:00:00 AM",AAPL,2457.0,4.017499923706055,"May 22, 2007 at 12:00:00 AM"
56,AAPL,2434,4.054999828338623,"May 22, 2007 at 12:00:00 AM",AAPL,2434.0,4.087500095367432,"May 29, 2007 at 12:00:00 AM"
