,BUYS,BUYS,BUYS,BUYS,SELLS,SELLS,SELLS,SELLS,DIFF (%),PROFIT $
,STOCK,SHARES,PRICE,TIME,STOCK,SHARES,PRICE,TIME,DIFF (%),PROFIT $
0,QCOM,177, $56.44 ,"January 07, 2019 at 12:00:00 AM",QCOM,177, $56.26 ,"January 09, 2019 at 12:00:00 AM",-0.318923298,-31.86005402
1,PEP,92, $107.49 ,"January 09, 2019 at 12:00:00 AM",PEP,92, $107.41 ,"January 10, 2019 at 12:00:00 AM",-0.074420135,-7.359466553
2,SNE,202, $49.10 ,"January 10, 2019 at 12:00:00 AM",SNE,202, $48.88 ,"January 11, 2019 at 12:00:00 AM",-0.448059904,-44.43947601
3,MSFT,96, $102.80 ,"January 11, 2019 at 12:00:00 AM",MSFT,96, $101.90 ,"January 14, 2019 at 12:00:00 AM",-0.87548784,-86.40014648
4,KO,208, $47.15 ,"January 14, 2019 at 12:00:00 AM",KO,208, $46.89 ,"January 15, 2019 at 12:00:00 AM",-0.551436114,-54.08044434
5,QCOM,175, $55.73 ,"January 15, 2019 at 12:00:00 AM",QCOM,175, $54.97 ,"January 17, 2019 at 12:00:00 AM",-1.363714925,-132.9997063
6,MSFT,91, $105.68 ,"January 22, 2019 at 12:00:00 AM",MSFT,91, $104.88 ,"January 29, 2019 at 12:00:00 AM",-0.757005157,-72.80027771
7,AAPL,247, $38.67 ,"January 29, 2019 at 12:00:00 AM",AAPL,247, $40.81 ,"January 30, 2019 at 12:00:00 AM",5.540475647,529.1979523
8,AAPL,244, $41.31 ,"January 30, 2019 at 12:00:00 AM",AAPL,244, $43.66 ,"February 06, 2019 at 12:00:00 AM",5.68834729,573.3996277
9,AAPL,245, $43.56 ,"February 06, 2019 at 12:00:00 AM",AAPL,245, $43.10 ,"February 07, 2019 at 12:00:00 AM",-1.056021315,-112.7007103
10,AAPL,247, $42.74 ,"February 07, 2019 at 12:00:00 AM",AAPL,247, $42.25 ,"February 08, 2019 at 12:00:00 AM",-1.140749339,-120.4123116
11,AAPL,245, $42.60 ,"February 08, 2019 at 12:00:00 AM",AAPL,245, $42.53 ,"February 12, 2019 at 12:00:00 AM",-0.18191277,-18.98735046
12,QCOM,201, $51.66 ,"February 12, 2019 at 12:00:00 AM",QCOM,201, $51.50 ,"February 14, 2019 at 12:00:00 AM",-0.309717088,-32.15996933
13,QCOM,201, $51.57 ,"February 14, 2019 at 12:00:00 AM",QCOM,201, $54.58 ,"March 04, 2019 at 12:00:00 AM",5.836730956,605.0104294
14,AAPL,250, $43.96 ,"March 04, 2019 at 12:00:00 AM",AAPL,250, $43.67 ,"March 06, 2019 at 12:00:00 AM",-0.671030932,-73.75049591
15,AAPL,250, $43.63 ,"March 06, 2019 at 12:00:00 AM",AAPL,250, $43.47 ,"March 07, 2019 at 12:00:00 AM",-0.372455386,-40.6255722
16,AAPL,252, $43.13 ,"March 07, 2019 at 12:00:00 AM",AAPL,252, $42.58 ,"March 08, 2019 at 12:00:00 AM",-1.26376387,-137.3395386
17,AAPL,248, $43.23 ,"March 08, 2019 at 12:00:00 AM",AAPL,248, $45.56 ,"March 13, 2019 at 12:00:00 AM",5.401651807,579.0797729
18,QCOM,204, $55.39 ,"March 13, 2019 at 12:00:00 AM",QCOM,204, $55.00 ,"March 15, 2019 at 12:00:00 AM",-0.704097119,-79.55987549
