,BUYS,BUYS,BUYS,BUYS,SELLS,SELLS,SELLS,SELLS,,,,,,
,STOCK,SHARES,PRICE,TIME,STOCK,SHARES,PRICE,TIME,,,,,,
0,INTC,157,63.43999863,"March 15, 2021 at 09:32:00 AM",INTC,157,63.53499985,"March 15, 2021 at 03:47:00 PM",,,,,,
1,QCOM,76,131.1069031,"March 15, 2021 at 03:47:00 PM",QCOM,76,131.25,"March 15, 2021 at 03:50:00 PM",,,,,,
2,MSFT,42,234,"March 15, 2021 at 03:50:00 PM",MSFT,42,234.3800049,"March 15, 2021 at 03:55:00 PM",,,,,,
3,AAPL,81,123.9499969,"March 15, 2021 at 03:55:00 PM",AAPL,81,125.5199966,"March 16, 2021 at 09:31:00 AM",,,,,,
4,MSFT,43,236.1600037,"March 16, 2021 at 09:31:00 AM",MSFT,43,236.125,"March 16, 2021 at 09:34:00 AM",,,,,10000,39.92021561
5,QCOM,76,132.9674988,"March 16, 2021 at 09:34:00 AM",QCOM,76,133.4299927,"March 16, 2021 at 09:37:00 AM",,,,,10014.91519,50.79055786
6,QCOM,76,133.3099976,"March 16, 2021 at 09:37:00 AM",QCOM,76,133.9850006,"March 16, 2021 at 09:46:00 AM",,,,,10025.79056,197.7905579
7,SBUX,92,111.1499023,"March 16, 2021 at 09:46:00 AM",SBUX,92,111.4649963,"March 16, 2021 at 09:52:00 AM",,,,,10041.75076,1.801010132
8,AAPL,81,126.0149994,"March 16, 2021 at 09:52:00 AM",AAPL,81,126.5,"March 16, 2021 at 09:57:00 AM",,,,,10168.92074,14.04058075
9,MSFT,43,238.1300049,"March 16, 2021 at 09:57:00 AM",MSFT,43,238.7100067,"March 16, 2021 at 10:03:00 AM",,,,,10167.41558,61.88567352
10,INTC,159,64.98000336,"March 16, 2021 at 10:04:00 AM",INTC,159,65.05999756,"March 16, 2021 at 10:08:00 AM",,,,,10202.56512,71.00530243
11,NVDA,19,538.2199707,"March 16, 2021 at 10:08:00 AM",NVDA,19,539.0300293,"March 16, 2021 at 10:11:00 AM",,,,,10253.86535,28.07433319
12,INTC,158,65.33499908,"March 16, 2021 at 10:11:00 AM",INTC,158,65.47499847,"March 16, 2021 at 10:17:00 AM",,,,,10282.854,75.63904572
13,ORCL,155,66.98989868,"March 16, 2021 at 10:17:00 AM",ORCL,155,67.15239716,"March 16, 2021 at 10:53:00 AM",,,,,10322.13905,82.54883575
14,SBUX,92,112.1800003,"March 16, 2021 at 10:53:00 AM",,,,,,,,,10347.07912,15.2585907
,,,,,,,,,,,,,10359.7982,133.6187592
,,,,,,,,,,,,,10375.18932,52.25946045
,,,,,,,,,,,,,10397.30922,13.87492371
,,,,,,,,,,,,FINAL,10422.49648,101.9364548
