Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,37833100,AAPL ,"135,327,073","16,237,895,489.27",10.971,Apple Inc,Common Stock,Information Technology,3/19/2021
QQQ,594918104,MSFT ,"60,797,027","14,004,595,169.45",9.462,Microsoft Corp,Common Stock,Information Technology,3/19/2021
QQQ,23135106,AMZN ,"4,059,189","12,481,843,807.44",8.433,Amazon.com Inc,Common Stock,Consumer Discretionary,3/19/2021
QQQ,88160R101,TSLA ,"9,575,108","6,270,450,975.96",4.236,Tesla Inc,Common Stock,Consumer Discretionary,3/19/2021
QQQ,30303M102,FB ,"19,390,049","5,625,247,115.39",3.801,Facebook Inc,Common Stock,Communication Services,3/19/2021
QQQ,02079K107,GOOG ,"2,640,387","5,394,838,718.40",3.645,Alphabet Inc,Common Stock,Communication Services,3/19/2021
QQQ,02079K305,GOOGL ,"2,424,204","4,913,764,539.84",3.32,Alphabet Inc,Common Stock,Communication Services,3/19/2021
QQQ,67066G104,NVDA ,"7,605,176","3,907,767,584.08",2.64,NVIDIA Corp,Common Stock,Information Technology,3/19/2021
QQQ,70450Y103,PYPL ,"14,366,153","3,466,265,395.84",2.342,PayPal Holdings Inc,Common Stock,Information Technology,3/19/2021
QQQ,458140100,INTC ,"49,838,484","3,177,701,739.84",2.147,Intel Corp,Common Stock,Information Technology,3/19/2021
QQQ,20030N101,CMCSA ,"56,072,403","3,109,775,470.38",2.101,Comcast Corp,Common Stock,Communication Services,3/19/2021
QQQ,64110L106,NFLX ,"5,432,724","2,782,532,578.32",1.88,Netflix Inc,Common Stock,Communication Services,3/19/2021
QQQ,00724F101,ADBE ,"5,871,948","2,592,465,042.00",1.752,Adobe Inc,Common Stock,Information Technology,3/19/2021
QQQ,17275R102,CSCO ,"51,786,183","2,536,487,243.34",1.714,Cisco Systems Inc/Delaware,Common Stock,Information Technology,3/19/2021
QQQ,11135F101,AVGO ,"5,007,457","2,375,838,048.22",1.605,Broadcom Inc,Common Stock,Information Technology,3/19/2021
QQQ,713448108,PEP ,"16,922,875","2,276,126,687.50",1.538,PepsiCo Inc,Common Stock,Consumer Staples,3/19/2021
QQQ,882508104,TXN ,"11,288,050","1,986,471,039.00",1.342,Texas Instruments Inc,Common Stock,Information Technology,3/19/2021
QQQ,872590104,TMUS ,"15,244,782","1,893,249,476.58",1.279,T-Mobile US Inc,Common Stock,Communication Services,3/19/2021
QQQ,747525103,QCOM ,"13,934,635","1,825,715,877.70",1.233,QUALCOMM Inc,Common Stock,Information Technology,3/19/2021
QQQ,22160K105,COST ,"5,433,464","1,787,120,644.24",1.207,Costco Wholesale Corp,Common Stock,Consumer Staples,3/19/2021
QQQ,31162100,AMGN ,"7,084,659","1,742,401,034.46",1.177,Amgen Inc,Common Stock,Health Care,3/19/2021
QQQ,855244109,SBUX ,"14,441,274","1,535,685,077.16",1.038,Starbucks Corp,Common Stock,Consumer Discretionary,3/19/2021
QQQ,16119P108,CHTR ,"2,376,377","1,496,499,651.98",1.011,Charter Communications Inc,Common Stock,Communication Services,3/19/2021
QQQ,38222105,AMAT ,"11,256,405","1,292,910,678.30",0.874,Applied Materials Inc,Common Stock,Information Technology,3/19/2021
